match_id,player_id,match_date,venue,match_type,opposition,runs_scored,balls_faced,fours,sixes,not_out,dismissal,overs_bowled,runs_conceded,wickets_taken,maidens,dots,catches,run_outs,stumpings,team_win,player_of_match
1,93,2022-11-30,Manchester,Test,England,0,0,0,0,0,,9.8,71,0,0,23,1,0,0,1,0
2,95,2022-11-30,Manchester,Test,Pakistan,79,57,20,13,0,bowled,0.0,0,0,0,0,0,0,0,0,0
3,99,2022-11-30,Manchester,Test,Australia,249,149,64,42,0,run out,0.0,0,0,0,0,1,0,0,0,0
4,86,2022-11-30,Manchester,Test,South Africa,266,148,67,44,0,bowled,0.0,0,0,0,0,0,0,0,0,0
5,26,2022-11-30,Manchester,Test,Afghanistan,108,91,26,18,1,,0.0,0,0,0,0,1,0,0,0,0
6,47,2022-11-30,Manchester,Test,Australia,108,56,26,16,0,caught,0.0,0,0,0,0,1,0,0,0,0
7,56,2022-11-30,Manchester,Test,Sri Lanka,51,46,13,7,0,run out,0.0,0,0,0,0,1,1,0,1,0
8,9,2022-11-30,Manchester,Test,Bangladesh,127,117,32,23,0,lbw,0.0,0,0,0,0,1,0,0,0,0
9,97,2022-11-30,Manchester,Test,South Africa,14,13,3,2,0,caught,8.9,64,6,0,30,1,0,0,1,0
10,43,2022-11-30,Manchester,Test,New Zealand,166,114,41,29,0,run out,0.0,0,0,0,0,0,0,0,1,0
11,80,2022-11-30,Manchester,Test,South Africa,78,72,21,14,0,bowled,4.9,49,2,0,13,1,0,0,1,0
12,41,2022-11-30,Manchester,Test,Afghanistan,0,4,0,0,0,run out,0.0,0,0,0,0,0,0,0,1,0
13,85,2022-11-30,Manchester,Test,West Indies,77,50,17,14,0,run out,0.0,0,0,0,0,0,0,0,0,0
14,16,2022-11-30,Manchester,Test,Bangladesh,0,0,0,0,0,,6.0,51,1,0,21,0,0,0,0,0
15,39,2022-11-30,Manchester,Test,West Indies,94,50,23,16,0,lbw,0.0,0,0,0,0,0,0,1,1,0
16,65,2022-11-30,Manchester,Test,Australia,33,28,10,5,0,bowled,0.0,0,0,0,0,1,0,0,0,0
17,40,2022-11-30,Manchester,Test,West Indies,74,56,17,12,0,bowled,0.0,0,0,0,0,0,0,0,1,0
18,53,2022-11-30,Manchester,Test,Australia,0,0,0,0,0,,2.8,24,2,0,9,1,0,0,0,0
19,42,2022-11-30,Manchester,Test,India,77,47,21,11,1,,0.0,0,0,0,0,2,0,0,1,0
20,52,2022-11-30,Manchester,Test,Australia,15,17,1,3,1,,8.4,77,4,0,16,0,1,0,1,0
21,38,2022-11-30,Manchester,Test,England,107,90,25,19,0,lbw,0.0,0,0,0,0,2,0,0,0,0
22,71,2022-11-30,Manchester,Test,New Zealand,0,0,0,0,0,,2.3,14,3,0,8,0,0,0,1,1
23,51,2023-03-25,Cape Town,ODI,Sri Lanka,143,99,36,25,0,run out,0.0,0,0,0,0,2,0,0,0,0
24,92,2023-03-25,Cape Town,ODI,Sri Lanka,139,124,35,22,0,lbw,2.6,11,4,0,5,0,0,0,0,0
25,26,2023-03-25,Cape Town,ODI,Sri Lanka,118,130,27,21,0,caught,0.0,0,0,0,0,0,0,1,0,0
26,10,2023-03-25,Cape Town,ODI,New Zealand,28,20,9,6,0,run out,5.4,32,2,0,10,0,0,0,1,0
27,76,2023-03-25,Cape Town,ODI,New Zealand,0,0,0,0,0,,2.3,25,2,0,6,0,0,0,0,0
28,89,2023-03-25,Cape Town,ODI,Sri Lanka,50,37,14,7,1,,0.0,0,0,0,0,1,0,0,0,0
29,81,2023-03-25,Cape Town,ODI,Pakistan,42,38,9,6,0,bowled,0.0,0,0,0,0,1,0,0,1,0
30,32,2023-03-25,Cape Town,ODI,South Africa,118,73,28,17,0,lbw,0.0,0,0,0,0,1,0,0,1,0
31,14,2023-03-25,Cape Town,ODI,Afghanistan,131,88,31,21,0,caught,7.1,54,5,0,13,0,0,0,0,0
32,90,2023-03-25,Cape Town,ODI,New Zealand,113,134,27,18,0,bowled,0.0,0,0,0,0,0,0,0,1,0
33,39,2023-03-25,Cape Town,ODI,Sri Lanka,0,5,0,0,1,,0.0,0,0,0,0,0,1,1,1,0
34,88,2023-03-25,Cape Town,ODI,Sri Lanka,117,75,28,21,0,run out,0.0,0,0,0,0,1,0,1,1,0
35,77,2023-03-25,Cape Town,ODI,Afghanistan,0,0,0,0,0,,5.3,62,2,0,15,1,0,0,1,0
36,16,2023-03-25,Cape Town,ODI,Afghanistan,0,0,0,0,0,,4.0,34,2,0,12,1,0,0,1,0
37,73,2023-03-25,Cape Town,ODI,Bangladesh,0,0,0,0,0,,5.0,41,2,0,9,0,0,0,1,0
